===================================================================================================================================
 i	j	score[i][0]	score[i][1]	score[i][2]	score[i][j]	sum	koreanTotal	englishTotal	mathTotal
===================================================================================================================================
 0	0	100		100		100		100		100	100		100		100
 0	1	100		100		100		100		200	100		100		100
 0	2	100		100		100		100		300	100		100		100
 1	0	20		20		20		20		20	120		120		120
 1	1	20		20		20		20		40	120		120		120
 1	2	20		20		20		20		60	120		120		120
 2	0	30		30		30		30		30	150		150		150
 2	1	30		30		30		30		60	150		150		150
 2	2	30		30		30		30		90	150		150		150
 3	0	40		40		40		40		40	190		190		190
 3	1	40		40		40		40		80	190		190		190
 3	2	40		40		40		40		120	190		190		190
 4	0	50		50		50		50		50	240		240		240
 4	1	50		50		50		50		100	240		240		240
 4	2	50		50		50		50		150	240		240		240
